ChapterNumber,Title,WordCount,ApproxPages
68,"4. Hermione Jean
Granger and the Phoenix’s Call",5813,19.4
69,65. Contagious Lies,5000,16.7
70,"66. Self Actualization, Part I",1560,5.2
71,"67. Self Actualization, Part II",3939,13.1
72,"68. Self Actualization, Part III",5135,17.1
73,"69. Self Actualization, Part IV",3587,12.0
74,"70. Self Actualization, Part V",5484,18.3
75,"71. Self Actualization, Part VI",4898,16.3
76,"72. Self
Actualization, Part VII:Plausible Deniability",8641,28.8
77,"73. Self
Actualization, Part VIII:The Sacred and the Mundane",5392,18.0
78,"74. Self
Actualization, Part IX:Escalation of Conflicts",9982,33.3
79,"75. Self Actualization,
Part X:Responsibility",6236,20.8
80,"76. Interlude with the
Confessor: Sunk Costs",2951,9.8
81,"77. Self-Actualization,
Aftermaths: Surface Appearances",11092,37.0
82,"78. Taboo Trade-offs Prelude:
Cheating",16021,53.4
83,"79. Taboo Trade-offs, Part I",8122,27.1
84,"80. Taboo Trade-offs,
Part II:The Horns Effect",6136,20.5
85,"81. Taboo Trade-offs, Part III",5506,18.4
86,"82. Taboo Trade-offs, Part Final",4024,13.4
87,"83. Taboo Trade-offs, Aftermath,
Part I",634,2.1
88,"84. Taboo Trade-offs, Aftermath,
Part II",10929,36.4
89,"85. Taboo Trade-offs,
Aftermath, Part III:Distance",6202,20.7
90,"5. Harry James
Potter-Evans-Verres and the Last Enemy",21541,71.8
91,87. Hedonic Awareness,6592,22.0
92,"88. Time Pressure, Part I",6050,20.2
93,"89. Time Pressure, Part II",2863,9.5
94,"90. Roles, Part I",5731,19.1
95,"91. Roles, Part II",4683,15.6
96,"92. Roles, Part III",2204,7.3
97,"93. Roles, Part IV",3776,12.6
98,"94. Roles, Part V",3819,12.7
99,"95. Roles, Part VI",4339,14.5
100,"96. Roles, Part VII",3340,11.1
101,"97. Roles, Part VIII",6727,22.4
102,"98. Roles, Final",3050,10.2
103,"99. Roles, Aftermath",17,0.1
104,"6. Harry
James Potter-Evans-Verres and the Philosopher’s Stone",11,0.0
105,"100. Precautionary Measures,
Part I",6066,20.2
106,"101. Precautionary Measures,
Part II",3033,10.1
107,102. Caring,4089,13.6
108,103. Tests,2393,8.0
109,"104. The Truth, Part I:Riddles
and Answers",9970,33.2
110,"105. The Truth, Part II",3235,10.8
111,"106. The Truth, Part III",1497,5.0
112,"107. The Truth, Part IV",4349,14.5
113,"108. The Truth, Part V:Answers
and Riddles",15043,50.1
114,"109. Reflections, Part I",5452,18.2
115,"110. Reflections, Part II",2008,6.7
116,"111. Failure, Part I",8509,28.4
117,"112. Failure, Part II",1397,4.7
118,113. End-of-year Exam,3171,10.6
119,114. Final Exam,772,2.6
120,"115. Shut Up and Do The
Impossible, Part I",2014,6.7
121,"116. Shut Up and Do The
Impossible, Part II",3319,11.1
122,"117. Aftermath, Something to
Protect, Part 0",2192,7.3
123,"118. Something to Protect:
Minerva McGonagall",2342,7.8
124,"119. Something to Protect:
Professor Quirrell",1206,4.0
125,"120. Something to Protect:
Albus Dumbledore",10042,33.5
126,"121. Something to Protect: Draco
Malfoy",2686,9.0
127,"122. Something to Protect:
Severus Snape",1419,4.7
128,"123. Something to Protect:
Hermione Granger",12830,42.8
TOTAL,,661400,2204.7
